TimeStamp;Relative Time;srcIP;dstIP;srcPort;dstPort;ipLen;len;fmt;uType;asduType;numix;cot;oa;addr
17:16:02.21;12.299324000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;122;1;13;0;65535
17:16:02.21;12.299623000;192.168.11.248;192.168.11.111;2404;56693;62;20;0x00000000;;121;1;13;0;65535
17:16:02.21;12.301074000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;122;1;13;0;65535
17:16:02.21;12.301874000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.21;12.301874000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.21;12.301874000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:02.21;12.302200000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.21;12.302200000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.21;12.302201000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:02.21;12.302555000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.21;12.302555000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.21;12.302556000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:02.21;12.302921000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.21;12.302921000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.21;12.304677000;192.168.11.111;192.168.11.248;56693;2404;46;4;0x00000001;;;;;;
17:16:02.21;12.305011000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:02.21;12.305452000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.21;12.305452000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.21;12.306131000;192.168.11.248;192.168.11.111;2404;56693;555;57;0x00000000;;125;1;13;0;65535
17:16:02.21;12.306131000;192.168.11.248;192.168.11.111;2404;56693;555;253;0x00000000;;125;1;13;0;65535
17:16:02.21;12.306131000;192.168.11.248;192.168.11.111;2404;56693;555;205;0x00000000;;125;1;13;0;65535
17:16:02.21;12.306131000;192.168.11.248;192.168.11.111;2404;56693;555;18;0x00000000;;123;1;13;0;65535
17:16:02.21;12.307907000;192.168.11.111;192.168.11.248;56693;2404;46;4;0x00000001;;;;;;
17:16:02.22;12.308673000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;124;1;13;0;65535
17:16:02.22;12.309011000;192.168.11.248;192.168.11.111;2404;56693;60;18;0x00000000;;123;1;13;0;65535
17:16:02.22;12.309143000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;124;1;13;0;65535
17:16:02.22;12.309489000;192.168.11.248;192.168.11.111;2404;56693;46;4;0x00000001;;;;;;
17:16:02.32;12.411782000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;122;1;13;0;65535
17:16:02.32;12.413437000;192.168.11.248;192.168.11.111;2404;56693;61;19;0x00000000;;120;1;13;0;65535
17:16:02.32;12.413590000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;122;1;13;0;65535
17:16:02.32;12.413921000;192.168.11.248;192.168.11.111;2404;56693;62;20;0x00000000;;121;1;13;0;65535
17:16:02.37;12.464704000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;122;1;13;0;65535
17:16:02.37;12.465524000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.37;12.465524000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.37;12.465524000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:02.37;12.465853000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.37;12.465853000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.37;12.465854000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:02.37;12.465854000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.37;12.465854000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.37;12.466263000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:02.37;12.466646000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.37;12.466646000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.37;12.467076000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:02.38;12.468286000;192.168.11.111;192.168.11.248;56693;2404;46;4;0x00000001;;;;;;
17:16:02.38;12.468996000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.38;12.468996000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.59;12.682551000;192.168.11.248;192.168.11.111;2404;56693;555;57;0x00000000;;125;1;13;0;65535
17:16:02.59;12.682551000;192.168.11.248;192.168.11.111;2404;56693;555;253;0x00000000;;125;1;13;0;65535
17:16:02.59;12.682551000;192.168.11.248;192.168.11.111;2404;56693;555;205;0x00000000;;125;1;13;0;65535
17:16:02.59;12.682551000;192.168.11.248;192.168.11.111;2404;56693;555;18;0x00000000;;123;1;13;0;65535
17:16:02.59;12.682942000;192.168.11.111;192.168.11.248;56693;2404;46;4;0x00000001;;;;;;
17:16:02.59;12.683444000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;124;1;13;0;65535
17:16:02.59;12.683796000;192.168.11.248;192.168.11.111;2404;56693;60;18;0x00000000;;123;1;13;0;65535
17:16:02.59;12.683992000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;124;1;13;0;65535
17:16:02.59;12.684348000;192.168.11.248;192.168.11.111;2404;56693;46;4;0x00000001;;;;;;
17:16:09.19;19.281869000;192.168.11.248;192.168.11.111;2404;56693;67;25;0x00000000;;36;1;3;0;65535
